tweet,tweet_is_directed_at,emotion,character_count,word_count,is_tweet_negative,is_apple,number_of_mentions,hashtags_count,average_word_length
"My Apple Watch keeps freezing, what gives?!",Apple,negative,44,9,1,1,0,0,4.9
"Google Maps just led me to the wrong place, ugh!",Google,negative,48,12,1,0,0,0,4
Apple's customer service is driving me crazy!,Apple,negative,45,10,1,1,0,0,4.5
Why is Google Drive always so slow?!,Google,negative,39,8,1,0,0,0,4.9
Just dropped my iPhone and the screen shattered.,Apple,negative,48,11,1,1,0,0,4.4
"Google Docs crashed and I lost all my work, ugh!",Google,negative,46,10,1,0,0,0,4.6
I hate how Apple keeps removing useful features.,Apple,negative,45,9,1,1,0,0,4.8
"Google Chrome is such a memory hog, it's annoying!",Google,negative,52,12,1,0,0,0,4.3
"Ugh, Apple Music's recommendations are terrible.",Apple,negative,47,8,1,1,0,0,5.9
Google Pixel's battery life is a disappointment.,Google,negative,47,9,1,0,0,0,5.2
"My iPhone camera quality is so grainy, not happy.",Apple,negative,50,11,1,1,0,0,4.5
Why does Google Assistant misunderstand me so much?,Google,negative,55,10,1,0,0,0,5.5
Apple's latest update is causing my phone to lag.,Apple,negative,49,10,1,1,0,0,4.9
"Google Photos messed up my album organization, ugh!",Google,negative,52,11,1,0,0,0,4.7
I can't believe Apple charges so much for this!,Apple,negative,45,11,1,1,0,0,4.1
Why won't Google Docs let me edit offline?,Google,negative,44,8,1,0,0,0,5.5
"My Apple Watch's battery barely lasts a day, ugh!",Apple,negative,49,11,1,1,0,0,4.5
"Google Calendar keeps messing up my events, why?!",Google,negative,48,11,1,0,0,0,4.4
I miss the old headphone jack on iPhones.,Apple,negative,42,8,1,1,0,0,5.3
Google's software updates are so annoying!,Google,negative,43,7,1,0,0,0,6.1
"My iPhone keeps auto-correcting to gibberish, ugh!",Apple,negative,48,10,1,1,0,0,4.8
Can't believe how Apple's quality has declined.,Apple,negative,45,8,1,1,0,0,5.6
"Google used to be better, now it's just frustrating.",Google,negative,49,9,1,0,0,0,5.4
I miss the simplicity of old Apple products.,Apple,negative,43,8,1,1,0,0,5.4
Google's support used to be more responsive.,Google,negative,45,7,1,0,0,0,6.4
"Back in my day, Apple didn't have so many bugs.",Apple,negative,46,10,1,1,0,0,4.6
Google's updates always seem to cause issues.,Google,negative,44,7,1,0,0,0,6.3
Apple's latest features are just confusing.,Apple,negative,42,6,1,1,0,0,7
Google Maps keeps sending me the wrong way.,Google,negative,42,9,1,0,0,0,4.7
My old Apple device worked better than this.,Apple,negative,44,9,1,1,0,0,4.9
Google's search results used to be more accurate.,Google,negative,48,10,1,0,0,0,4.8
Can't believe how expensive Apple products are.,Apple,negative,45,8,1,1,0,0,5.6
Google's software is not user-friendly anymore.,Google,negative,45,8,1,0,0,0,5.6
"In my time, Apple cared more about customer satisfaction.",Apple,negative,54,9,1,1,0,0,6
Google's privacy concerns make me uneasy.,Google,negative,43,6,1,0,0,0,7.2
"Back in the day, Apple products were reliable.",Apple,negative,44,7,1,1,0,0,6.3
Google's changes are hard for me to adapt to.,Google,negative,42,8,1,0,0,0,5.3
I remember when Apple didn't have so many issues.,Apple,negative,46,10,1,1,0,0,4.6
Google's customer service isn't what it used to be.,Google,negative,51,12,1,0,0,0,4.3
My old Apple device still outperforms the new ones.,Apple,negative,48,11,1,1,0,0,4.4
Having issues with my Apple MacBook again.,Apple,negative,39,7,1,1,0,0,5.6
Google Drive's syncing is driving me crazy.,Google,negative,40,8,1,0,0,0,5
Can't get my Apple iPhone to stop freezing.,Apple,negative,39,8,1,1,0,0,4.9
Google Meet is glitchy and it's frustrating.,Google,negative,42,7,1,0,0,0,6
Apple's software update caused more problems.,Apple,negative,41,6,1,1,0,0,6.8
Google Calendar is not showing all events.,Google,negative,40,7,1,0,0,0,5.7
The new Apple iOS is full of bugs.,Apple,negative,36,7,1,1,0,0,5.1
Google's customer service needs improvement.,Google,negative,43,6,1,0,0,0,7.2
Can't access my files on Apple iCloud.,Apple,negative,37,7,1,1,0,0,5.3
"Google Docs keeps crashing, not good for work.",Google,negative,45,8,1,0,0,0,5.6
Apple's customer service response is slow.,Apple,negative,40,7,1,1,0,0,5.7
Google's product updates cause confusion.,Google,negative,40,6,1,0,0,0,6.7
My Apple Watch battery life is terrible.,Apple,negative,39,7,1,1,0,0,5.6
"Google's search algorithm needs fixing, ASAP.",Google,negative,42,9,1,0,0,0,4.7
Apple's latest update is causing delays in work.,Apple,negative,45,10,1,1,0,0,4.5
"Google Sheets is not auto-saving, risk of data loss.",Google,negative,49,9,1,0,0,0,5.4
Apple's pricing is too high for business needs.,Apple,negative,44,8,1,1,0,0,5.5
Google Chrome keeps crashing during work.,Google,negative,42,8,1,0,0,0,5.3
My Apple device is not compatible with new updates.,Apple,negative,48,10,1,1,0,0,4.8
Google's product changes are disruptive to workflow.,Google,negative,52,11,1,0,0,0,4.7
Apple's software crashes are affecting my productivity.,Apple,negative,53,9,1,1,0,0,5.9
Stuck at the airport with my malfunctioning Apple device.,Apple,negative,58,11,1,1,0,0,5.3
Google Maps just led me to the wrong hotel.,Google,negative,47,9,1,0,0,0,5.2
Apple's battery life is terrible for travelers.,Apple,negative,46,8,1,1,0,0,5.8
Google Translate keeps giving inaccurate translations.,Google,negative,55,10,1,0,0,0,5.5
My Apple device keeps overheating during my trip.,Apple,negative,49,11,1,1,0,0,4.5
Google's navigation is not working properly.,Google,negative,43,7,1,0,0,0,6.1
Having trouble connecting to Wi-Fi with my Apple device.,Apple,negative,55,12,1,1,0,0,4.6
Google's location accuracy is disappointing.,Google,negative,44,7,1,0,0,0,6.3
My Apple device just crashed while traveling.,Apple,negative,46,7,1,1,0,0,6.6
Google Photos auto-backup is not reliable.,Google,negative,42,7,1,0,0,0,6
Apple's GPS navigation is glitchy on the road.,Apple,negative,46,9,1,1,0,0,5.1
Google's app updates cause issues while traveling.,Google,negative,49,8,1,0,0,0,6.1
Lost my important files due to Apple's iCloud glitch.,Apple,negative,53,11,1,1,0,0,4.8
Google's offline maps didn't work when I needed them.,Google,negative,54,11,1,0,0,0,4.9
My Apple device keeps disconnecting from Wi-Fi.,Apple,negative,48,10,1,1,0,0,4.8
Google's search results are not relevant to my travel.,Google,negative,53,11,1,0,0,0,4.8
Apple's battery drain issue is frustrating while traveling.,Apple,negative,58,11,1,1,0,0,5.3
Google Maps misrouted me to a closed attraction.,Google,negative,50,11,1,0,0,0,4.5
My Apple device's screen keeps freezing during my trip.,Apple,negative,57,12,1,1,0,0,4.8
Google Translate failed me when I needed it most.,Google,negative,51,9,1,0,0,0,5.7
Just had a terrible experience at the Apple Store.,Apple,negative,48,9,1,1,0,0,5.3
Google's product support is unresponsive.,Google,negative,44,6,1,0,0,0,7.3
Apple's latest update caused my device to crash.,Apple,negative,46,8,1,1,0,0,5.8
Google Maps gave me wrong directions again.,Google,negative,43,7,1,0,0,0,6.1
Can't believe how expensive Apple products are here.,Apple,negative,53,9,1,1,0,0,5.9
Google's software updates are causing issues.,Google,negative,41,7,1,0,0,0,5.9
My Apple device's battery life is draining fast.,Apple,negative,48,10,1,1,0,0,4.8
Google Drive just deleted my important files.,Google,negative,45,8,1,0,0,0,5.6
Apple's customer service is not helpful at all.,Apple,negative,46,9,1,1,0,0,5.1
Google Chrome keeps crashing on my device.,Google,negative,44,7,1,0,0,0,6.3
Can't get my Apple device to connect to Wi-Fi.,Apple,negative,43,9,1,1,0,0,4.8
Google Translate is providing inaccurate translations.,Google,negative,54,11,1,0,0,0,4.9
Apple's software update messed up my settings.,Apple,negative,45,9,1,1,0,0,5
Google's customer support is hard to reach.,Google,negative,45,8,1,0,0,0,5.6
My Apple device's camera quality is disappointing.,Apple,negative,48,10,1,1,0,0,4.8
Google Docs keeps freezing while I work.,Google,negative,43,7,1,0,0,0,6.1
Apple's latest feature update is not useful.,Apple,negative,43,8,1,1,0,0,5.4
Google Photos deleted my pictures unexpectedly.,Google,negative,46,9,1,0,0,0,5.1
Having trouble with Apple Pay in my country.,Apple,negative,41,7,1,1,0,0,5.9
Google's app is draining my phone's battery.,Google,negative,43,8,1,0,0,0,5.4
Google Maps messed up our party's location.,Google,negative,42,8,1,0,0,0,5.3
Apple's music app killed our vibe with ads.,Apple,negative,42,8,1,1,0,0,5.3
"Lost my Google Pixel at the club, ugh!",Google,negative,38,7,1,0,0,0,5.4
Apple's battery life ruins the party.,Apple,negative,37,6,1,1,0,0,6.2
This Google Assistant glitch is annoying.,Google,negative,41,6,1,0,0,0,6.8
Can't believe Apple Maps led us astray.,Apple,negative,39,7,1,1,0,0,5.6
Google Photos keeps crashing at the party.,Google,negative,42,7,1,0,0,0,6
My Apple device's screen cracked while dancing.,Apple,negative,48,8,1,1,0,0,6
"Google Docs just deleted my report, seriously?!",Google,negative,43,7,1,0,0,0,6.1
Apple Music killed the DJ's playlist.,Apple,negative,37,7,1,1,0,0,5.3
Google Calendar messed up our party schedule.,Google,negative,43,7,1,0,0,0,6.1
This Apple update is ruining my party apps.,Apple,negative,41,7,1,1,0,0,5.9
Can't access Google Drive for party photos.,Google,negative,41,7,1,0,0,0,5.9
My Apple device froze mid-selfie at the club.,Apple,negative,43,8,1,1,0,0,5
Google Maps gave us the longest route to the party.,Google,negative,52,11,1,0,0,0,4.7
Apple's autocorrect is embarrassing at parties.,Apple,negative,42,8,1,1,0,0,5.3
Google Assistant keeps interrupting our fun.,Google,negative,41,6,1,0,0,0,6.8
My Apple device's camera ruined the group photo.,Apple,negative,45,9,1,1,0,0,5
Google's app update is causing party app crashes.,Google,negative,48,9,1,0,0,0,5.3
Apple Music shuffle is killing the party vibe.,Apple,negative,44,8,1,1,0,0,5.5
Google Photos' backup is too slow for party pics.,Google,negative,48,8,1,0,0,0,6
"Apple's battery life died, party over for my phone.",Apple,negative,52,11,1,1,0,0,4.7
"Google Maps lagged, got lost on the way to the club.",Google,negative,51,11,1,0,0,0,4.6
This Apple update crashed our party playlist.,Apple,negative,41,6,1,1,0,0,6.8
Google Slides crashed during our presentation.,Google,negative,45,8,1,0,0,0,5.6
Apple's keynote disappointed with no new features.,Apple,negative,47,9,1,1,0,0,5.2
This Google Hangouts call is full of glitches.,Google,negative,44,8,1,0,0,0,5.5
My Apple device keeps losing Wi-Fi in the meeting.,Apple,negative,46,9,1,1,0,0,5.1
Google Sheets just deleted our important data.,Google,negative,45,8,1,0,0,0,5.6
Apple's software update crashed our devices.,Apple,negative,43,8,1,1,0,0,5.4
Can't access Google Drive for the meeting files.,Google,negative,45,8,1,0,0,0,5.6
Apple's security flaw is concerning in the meeting.,Apple,negative,46,8,1,1,0,0,5.8
"Google Calendar event disappeared, inconvenient.",Google,negative,46,8,1,0,0,0,5.8
Apple's customer service is unresponsive.,Apple,negative,43,6,1,1,0,0,7.2
Google's app update is causing delays in the meeting.,Google,negative,49,9,1,0,0,0,5.4
Apple's autocorrect just embarrassed me.,Apple,negative,42,7,1,1,0,0,6
Google Docs is not cooperating in the presentation.,Google,negative,48,8,1,0,0,0,6
My Apple device's battery is draining too fast.,Apple,negative,45,8,1,1,0,0,5.6
Google's product integration is not seamless.,Google,negative,42,7,1,0,0,0,6
Apple's new update caused our meeting app to crash.,Apple,negative,50,9,1,1,0,0,5.6
Google Hangouts audio quality is poor.,Google,negative,39,6,1,0,0,0,6.5
My Apple device froze during the important call.,Apple,negative,47,9,1,1,0,0,5.2
Google Slides formatting errors ruining our slides.,Google,negative,53,10,1,0,0,0,5.3
Apple's lack of innovation is disappointing.,Apple,negative,41,6,1,1,0,0,6.8
This Google Drive sync error is frustrating.,Google,negative,43,7,1,0,0,0,6.1
Apple's software glitch crashed our meeting app.,Apple,negative,48,9,1,1,0,0,5.3
Google Meet video lag is disrupting the conference.,Google,negative,50,9,1,0,0,0,5.6
Can't believe Apple's product failed in the demo.,Apple,negative,45,8,1,1,0,0,5.6
Google's app keeps crashing during the meeting.,Google,negative,44,7,1,0,0,0,6.3
"Apple's conference app keeps crashing, ugh!",Apple,negative,40,7,1,1,0,0,5.7
Google Maps gave us wrong directions in Vegas.,Google,negative,43,8,1,0,0,0,5.4
My Apple device froze during the keynote speech.,Apple,negative,46,8,1,1,0,0,5.8
Google Meet video quality is poor at the expo.,Google,negative,44,8,1,0,0,0,5.5
Apple's new product demo was underwhelming.,Apple,negative,40,7,1,1,0,0,5.7
This Google Drive outage is causing chaos at the conference.,Google,negative,58,12,1,0,0,0,4.8
Apple's customer service is unhelpful at the event.,Apple,negative,47,9,1,1,0,0,5.2
Google Hangouts call dropped during the seminar.,Google,negative,45,8,1,0,0,0,5.6
My Apple device's battery is draining too fast.,Apple,negative,45,8,1,1,0,0,5.6
Google's conference app is full of bugs.,Google,negative,40,7,1,0,0,0,5.7
Apple's latest update is causing issues in Vegas.,Apple,negative,45,8,1,1,0,0,5.6
Google Docs just deleted our presentation slides.,Google,negative,47,8,1,0,0,0,5.9
Apple's software glitch disrupted the conference.,Apple,negative,47,9,1,1,0,0,5.2
Google's search algorithm failed during the keynote.,Google,negative,51,11,1,0,0,0,4.6
Can't believe Apple's app crashed during the expo.,Apple,negative,46,9,1,1,0,0,5.1
Google Drive sync error messed up our documents.,Google,negative,48,8,1,0,0,0,6
"Apple's keynote was boring, lacked innovation.",Apple,negative,45,7,1,1,0,0,6.4
My Google Pixel camera stopped working in Vegas.,Google,negative,48,8,1,0,0,0,6
Apple's update caused Wi-Fi issues at the event.,Apple,negative,45,8,1,1,0,0,5.6
Google Hangouts audio quality is terrible.,Google,negative,42,6,1,0,0,0,7
Can't access Apple's cloud storage at the seminar.,Apple,negative,46,8,1,1,0,0,5.8
Google Maps gave us the longest route to the event.,Google,negative,48,10,1,0,0,0,4.8
Apple's battery life is disappointing at the expo.,Apple,negative,47,8,1,1,0,0,5.9
This Google Assistant bug is annoying in Las Vegas.,Google,negative,48,9,1,0,0,0,5.3
Google Maps navigation failed again at the airport.,Google,negative,50,9,1,0,0,0,5.6
My Apple device's battery died while waiting.,Apple,negative,45,8,1,1,0,0,5.6
Google Drive sync error caused delays at the terminal.,Google,negative,54,11,1,0,0,0,4.9
Apple's latest software update crashed at the gate.,Apple,negative,47,8,1,1,0,0,5.9
Can't access Google Docs to check my itinerary.,Google,negative,48,8,1,0,0,0,6
Apple's customer service isn't helping with delays.,Apple,negative,49,8,1,1,0,0,6.1
Google's search results are irrelevant for flights.,Google,negative,50,9,1,0,0,0,5.6
Apple's app froze while checking-in at the airport.,Apple,negative,49,8,1,1,0,0,6.1
Google Hangouts call dropped during travel updates.,Google,negative,51,9,1,0,0,0,5.7
Apple's new update caused Wi-Fi issues at the airport.,Apple,negative,54,10,1,1,0,0,5.4
Google's app is crashing when I need it the most.,Google,negative,47,9,1,0,0,0,5.2
Apple's software glitch delayed my boarding pass.,Apple,negative,48,9,1,1,0,0,5.3
Google Calendar event disappeared before my flight.,Google,negative,53,9,1,0,0,0,5.9
My Apple device's battery is draining at the airport.,Apple,negative,51,9,1,1,0,0,5.7
Google's app update caused delays at the gate.,Google,negative,47,9,1,0,0,0,5.2
Can't believe Apple's app crashed at the terminal.,Apple,negative,46,8,1,1,0,0,5.8
Google Meet video quality is terrible here.,Google,negative,42,6,1,0,0,0,7
Apple's keynote was uninspiring for my layover.,Apple,negative,46,8,1,1,0,0,5.8
Google Docs collaboration issues causing troubles.,Google,negative,48,8,1,0,0,0,6
Apple's update ruined my travel app experience.,Apple,negative,45,8,1,1,0,0,5.6
Google's product integration is not working at the airport.,Google,negative,57,10,1,0,0,0,5.7
Apple's autocorrect changed my gate information.,Apple,negative,48,9,1,1,0,0,5.3
"Google Maps showed the wrong terminal, frustrating.",Google,negative,54,9,1,0,0,0,6
Apple's software update crashed my travel app.,Apple,negative,45,8,1,1,0,0,5.6
This Google Drive outage is inconvenient at the airport.,Google,negative,54,11,1,0,0,0,4.9
"Google Maps led us to the wrong venue, thanks!",Google,negative,44,10,1,0,0,0,4.4
My Apple device's battery died at the reunion.,Apple,negative,46,8,1,1,0,0,5.8
Google Drive syncing error messed up our photos.,Google,negative,48,9,1,0,0,0,5.3
Apple's latest software update crashed again.,Apple,negative,41,7,1,1,0,0,5.9
Can't access Google Docs for sharing memories.,Google,negative,43,7,1,0,0,0,6.1
Apple's customer service is unresponsive.,Apple,negative,40,7,1,1,0,0,5.7
Google's search results are irrelevant for families.,Google,negative,51,10,1,0,0,0,5.1
Apple's app crashed while capturing moments.,Apple,negative,41,7,1,1,0,0,5.9
Google Hangouts call dropped during family chat.,Google,negative,47,9,1,0,0,0,5.2
Apple's new update caused issues at the reunion.,Apple,negative,45,9,1,1,0,0,5
Google's app is laggy when sharing memories.,Google,negative,42,7,1,0,0,0,6
Apple's software glitch disrupted the reunion.,Apple,negative,45,9,1,1,0,0,5
Google Calendar failed to notify on time.,Google,negative,36,7,1,0,0,0,5.1
My Apple device's battery drains too quickly.,Apple,negative,43,7,1,1,0,0,6.1
Google's app update caused confusion at the reunion.,Google,negative,48,9,1,0,0,0,5.3
Can't believe Apple's app crashed during reunion.,Apple,negative,46,8,1,1,0,0,5.8
Google Meet video quality is terrible with family.,Google,negative,50,9,1,0,0,0,5.6
Apple's keynote was uninspiring for the gathering.,Apple,negative,46,9,1,1,0,0,5.1
Google Docs collaboration issues ruining reunion.,Google,negative,46,8,1,0,0,0,5.8
Apple's update ruined photo-sharing at the reunion.,Apple,negative,47,9,1,1,0,0,5.2
Google's product integration is not working for family.,Google,negative,55,10,1,0,0,0,5.5
Google Maps ruined our New Year's Eve plans.,Google,negative,44,8,1,0,0,0,5.5
My Apple device's battery died on New Year's.,Apple,negative,42,7,1,1,0,0,6
Google Drive sync error deleted our party photos.,Google,negative,47,10,1,0,0,0,4.7
Apple's latest software update crashed the countdown.,Apple,negative,51,10,1,1,0,0,5.1
Can't access Google Docs for New Year's resolutions.,Google,negative,50,8,1,0,0,0,6.3
Apple's customer service isn't helping with issues.,Apple,negative,49,8,1,1,0,0,6.1
Google's search results are irrelevant for parties.,Google,negative,49,9,1,0,0,0,5.4
Apple's app froze while capturing fireworks.,Apple,negative,45,8,1,1,0,0,5.6
Google Hangouts call dropped during celebrations.,Google,negative,46,8,1,0,0,0,5.8
Apple's new update caused glitches on New Year's.,Apple,negative,46,8,1,1,0,0,5.8
Google's app is laggy during New Year's greetings.,Google,negative,48,8,1,0,0,0,6
Apple's software glitch affected the countdown.,Apple,negative,45,8,1,1,0,0,5.6
Google Calendar failed to remind us of the party.,Google,negative,48,8,1,0,0,0,6
My Apple device's battery drains during fireworks.,Apple,negative,49,8,1,1,0,0,6.1
Google's app update caused disruptions at midnight.,Google,negative,50,8,1,0,0,0,6.3
Can't believe Apple's app crashed on New Year's.,Apple,negative,47,8,1,1,0,0,5.9
Google Meet video quality is terrible on NYE.,Google,negative,42,8,1,0,0,0,5.3
Apple's keynote was uninspiring at the party.,Apple,negative,46,8,1,1,0,0,5.8
Google Docs collaboration issues during New Year.,Google,negative,48,8,1,0,0,0,6
Google Maps took us on the longest route.,Google,negative,42,9,1,0,0,0,4.7
My Apple device's battery died on Valentine's Day.,Apple,negative,46,8,1,1,0,0,5.8
Google Drive sync issue deleted our love notes.,Google,negative,45,9,1,0,0,0,5
Apple's latest software update crashed our date.,Apple,negative,43,7,1,1,0,0,6.1
Can't access Google Docs for love letters.,Google,negative,39,7,1,0,0,0,5.6
Apple's customer service ruined our romantic plans.,Apple,negative,49,9,1,1,0,0,5.4
Google's search results are irrelevant for romance.,Google,negative,47,8,1,0,0,0,5.9
Apple's app crashed during our Valentine's call.,Apple,negative,48,8,1,1,0,0,6
Google Hangouts call dropped during our date.,Google,negative,43,8,1,0,0,0,5.4
Apple's new update caused glitches on V-Day.,Apple,negative,44,8,1,1,0,0,5.5
Google's app is laggy when sending love messages.,Google,negative,44,8,1,0,0,0,5.5
Apple's software glitch affected our Valentine's.,Apple,negative,44,8,1,1,0,0,5.5
Google Calendar failed to remind us of our date.,Google,negative,44,8,1,0,0,0,5.5
My Apple device's battery drains during our date.,Apple,negative,43,8,1,1,0,0,5.4
Google's app update caused disruptions on V-Day.,Google,negative,43,8,1,0,0,0,5.4
Can't believe Apple's app crashed on Valentine's.,Apple,negative,43,8,1,1,0,0,5.4
Google Meet video quality is terrible on V-Day.,Google,negative,42,8,1,0,0,0,5.3
Apple's keynote was uninspiring on Valentine's.,Apple,negative,42,8,1,1,0,0,5.3
Google Docs collaboration issues on Valentine's.,Google,negative,42,8,1,0,0,0,5.3
Google Maps failed to find Easter service location.,Google,negative,48,8,1,0,0,0,6
My Apple device's battery died during Easter mass.,Apple,negative,46,8,1,1,0,0,5.8
Google Drive sync error deleted our Easter plans.,Google,negative,45,8,1,0,0,0,5.6
Apple's latest software update crashed on Easter.,Apple,negative,45,8,1,1,0,0,5.6
Can't access Google Docs for Easter sermons.,Google,negative,42,7,1,0,0,0,6
Apple's customer service is unresponsive on Easter.,Apple,negative,48,8,1,1,0,0,6
Google's search results are irrelevant for Easter.,Google,negative,46,8,1,0,0,0,5.8
Apple's app crashed during Easter celebrations.,Apple,negative,45,8,1,1,0,0,5.6
Google Hangouts call dropped during Easter brunch.,Google,negative,48,8,1,0,0,0,6
Apple's new update caused issues on Easter Sunday.,Apple,negative,46,8,1,1,0,0,5.8
Google's app is laggy during Easter celebrations.,Google,negative,44,8,1,0,0,0,5.5
Apple's software glitch disrupted Easter service.,Apple,negative,46,8,1,1,0,0,5.8
Google Calendar failed to notify on Easter events.,Google,negative,49,9,1,0,0,0,5.4
My Apple device's battery drains during Easter.,Apple,negative,45,8,1,1,0,0,5.6
Google's app update caused confusion on Easter.,Google,negative,45,8,1,0,0,0,5.6
Apple's Easter surprise was disappointing.,Apple,negative,42,8,1,1,0,0,5.3
Google Meet video quality is terrible on Easter.,Google,negative,46,8,1,0,0,0,5.8
Can't believe Apple's app crashed on Easter.,Apple,negative,46,8,1,1,0,0,5.8
Google Docs collaboration issues on Easter Sunday.,Google,negative,47,8,1,0,0,0,5.9
Apple's update ruined our Easter celebrations.,Apple,negative,44,8,1,1,0,0,5.5
Google Maps messed up the directions to the BBQ.,Google,negative,45,9,1,0,0,0,5
